,Unnamed: 0,provider,title,name,preview,tree,group,abstract,keywords,legend,contact,endpoint,metadata,update,service,max_zoom,center_lat,center_lon,bbox,keywords_nlp,summary,lang_3,lang_2,metaquality,title_de,title_en,title_fr,title_it,abstract_de,abstract_en,abstract_fr,abstract_it,keywords_de,keywords_en,keywords_fr,keywords_it,keywords_nlp_de,keywords_nlp_en,keywords_nlp_fr,keywords_nlp_it
0,44.0,KT_AG,Gebiete schlechter Grundwasserdurchlässigkeit,ch_ag_geo_afu_gwschledurchl,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Gebiete schlechter Grundwasserdurchlässigkeit||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_afu_gwschledurchl||1.3.0&E=2658984.609401282&N=1250202.1447098278&zoom=4,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_afu_gwschledurchl,,"Gebiete, in welchen eine schlechte Durchlässigkeit für das Grundwasser festgestellt wurde.",Gewässer,https://wms.geo.ag.ch/public/ows?service=WMS&version=1.3.0&request=GetLegendGraphic&format=image%2Fpng&width=20&height=20&layer=ch_ag_geo_afu_gwschledurchl,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,4.0,47.4,8.22,7.907208001455206 47.1468816390492 8.527591340995501 47.64818690680884,"schlechte durchlässigkeit, gebiete, grundwasser festgestellt wurde",summary,DEU,DE,75,Gebiete schlechter Grundwasserdurchlässigkeit,Areas of poor groundwater permeability,Zones de faible perméabilité des eaux souterraines,Aree con scarsa permeabilità delle acque sotterranee,"Gebiete, in welchen eine schlechte Durchlässigkeit für das Grundwasser festgestellt wurde.",Areas in which poor groundwater permeability has been identified.,Zones dans lesquelles une mauvaise perméabilité des eaux souterraines a été identifiée.,Aree in cui è stata individuata una scarsa permeabilità delle acque sotterranee.,Gewässer,waters,eaux,acque,"schlechte durchlässigkeit, gebiete, grundwasser festgestellt wurde","poor permeability, areas, groundwater was found","mauvaise perméabilité, zones, eaux souterraines ont été trouvées","è stata riscontrata scarsa permeabilità, aree, acque sotterranee"
1,45.0,KT_AG,Gebiete schlechter Grundwasserdurchlässigkeit,ch_ag_geo_afu_gwschledurchl_01,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Gebiete schlechter Grundwasserdurchlässigkeit||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_afu_gwschledurchl_01||1.3.0&E=2658984.609401282&N=1250202.1447098278&zoom=5,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_afu_gwschledurchl,ch_ag_geo_afu_gwschledurchl,"Gebiete, in welchen eine schlechte Durchlässigkeit für das Grundwasser festgestellt wurde.",Gewässer,,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,5.0,47.4,8.22,8.040066753671564 47.23798304682879 8.392904567352673 47.557636106511644,"schlechte durchlässigkeit, gebiete, grundwasser festgestellt wurde",summary,DEU,DE,75,Gebiete schlechter Grundwasserdurchlässigkeit,Areas of poor groundwater permeability,Zones de faible perméabilité des eaux souterraines,Aree con scarsa permeabilità delle acque sotterranee,"Gebiete, in welchen eine schlechte Durchlässigkeit für das Grundwasser festgestellt wurde.",Areas in which poor groundwater permeability has been identified.,Zones dans lesquelles une mauvaise perméabilité des eaux souterraines a été identifiée.,Aree in cui è stata individuata una scarsa permeabilità delle acque sotterranee.,Gewässer,waters,eaux,acque,"schlechte durchlässigkeit, gebiete, grundwasser festgestellt wurde","poor permeability, areas, groundwater was found","mauvaise perméabilité, zones, eaux souterraines ont été trouvées","è stata riscontrata scarsa permeabilità, aree, acque sotterranee"
2,55.0,KT_AG,Nitratgebiete,ch_ag_geo_afu_nitz,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Nitratgebiete||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_afu_nitz||1.3.0&E=2659705.839218268&N=1253545.0407211347&zoom=4,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_afu_nitz,,"Darstellung der Nitratgebiete mit Zuströmbereichen und Nitratperimetern respektive der Nitratzonen. Zuströmbereiche und Nitratperimeter werden durch die Gemeinden für Gebiete ausgeschieden, in denen die ackerbauliche Nutzung zu erhöhter Nitratbelastung von Grundwasservorkommen führt. Mittels Nitratreglementen werden Einschränkungen für die landwirtschaftliche Nutzung verfügt, um die Nitratverluste ins Grundwasser zu reduzieren.","Umweltschutz, Lärm",https://wms.geo.ag.ch/public/ows?service=WMS&version=1.3.0&request=GetLegendGraphic&format=image%2Fpng&width=20&height=20&layer=ch_ag_geo_afu_nitz,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,4.0,47.43,8.23,7.893683198281977 47.174590571829846 8.562469853037781 47.69326488707062,"ackerbauliche nutzung, nitratperimetern respektive, gebiete ausgeschieden, darstellung, nitratverluste, erhöhter nitratbelastung, grundwasser, mittels nitratreglementen, landwirtschaftliche nutzung verfügt, zuströmbereiche, nitratperimeter, gemeinden, zuströmbereichen, grundwasservorkommen führt, einschränkungen, nitratgebiete, nitratzonen",summary,DEU,DE,75,Nitratgebiete,Nitrate areas,Zones de nitrates,Aree di nitrati,"Darstellung der Nitratgebiete mit Zuströmbereichen und Nitratperimetern respektive der Nitratzonen. Zuströmbereiche und Nitratperimeter werden durch die Gemeinden für Gebiete ausgeschieden, in denen die ackerbauliche Nutzung zu erhöhter Nitratbelastung von Grundwasservorkommen führt. Mittels Nitratreglementen werden Einschränkungen für die landwirtschaftliche Nutzung verfügt, um die Nitratverluste ins Grundwasser zu reduzieren.",Represeion of the nitrate areas with inflow areas and nitrate perimeters or the nitrate zones. Inflow areas and nitrate perimeters are designated by the communities for areas in which agricultural use leads to increased nitrate pollution of groundwater resources. Nitrate regulations are used to impose restrictions oricultural use in order to reduce nitrate losses into groundwater.,Représeion des zones de nitrates avec les zones d apport et les périmètres de nitrates ou les zones de nitrates. Les zones d apport et les périmètres de nitrates sont désignés par les communautés pour les zones dans lesquelles l exploitatioricole entraîne une pollutiocrue des ressources en eaux souterraines par les nitrates. Les réglemeions sur les nitrates sont utilisées pour imposer des restrictions sur l utilisatioricole afin de réduire les pertes de nitrates dans les eaux souterraines.,Rappreseione delle aree dei nitrati coee di afflusso e perimetri dei nitrati o zone dei nitrati. Le aree di afflusso e i perimetri dei nitrati sono designati dalle comunità per le aree in cui l’uso agricolo porta ad umento dell’inquinamento da nitrati delle risorse idriche sotterranee. Le normative sui nitrati vengono utilizzate per imporre restrizioni sull’uso agricolo al fine di ridurre le perdite di nitrati nelle acque sotterranee.,"Umweltschutz, Lärm","Environme protection, noise","Protection de l environnement, bruit","Tutela dell ambiente, rumore","ackerbauliche nutzung, nitratperimetern respektive, gebiete ausgeschieden, darstellung, nitratverluste, erhöhter nitratbelastung, grundwasser, mittels nitratreglementen, landwirtschaftliche nutzung verfügt, zuströmbereiche, nitratperimeter, gemeinden, zuströmbereichen, grundwasservorkommen führt, einschränkungen, nitratgebiete, nitratzonen","agricultural use, nitrate perimeters, respectively, areas eliminated, represeion, nitrate losses, increased nitrate pollution, groundwater, by means of nitrate regulations, agricultural use, inflow areas, nitrate perimeters, communities, inflow areas, groundwater reserves, restrictions, nitrate areas, nitrate zones","utilisatioricole, périmètres de nitrates, respectivement, superficies éliminées, représeion, pertes de nitrates, pollutiocrue par les nitrates, eaux souterraines, au moyen de réglemeions sur les nitrates, utilisatioricole, zones d arrivée, périmètres de nitrates, communautés, zones d arrivée, réserves d eaux souterraines, restrictions, superficies de nitrates, zones de nitrates","uso agricolo, perimetri dei nitrati, rispettivamente, aree eliminate, rappreseione, perdite di nitrati, aumento dell inquinamento da nitrati, acque sotterranee, mediante normative sui nitrati, uso agricolo, aree di afflusso, perimetri di nitrati, comunità, aree di afflusso, riserve acquifere sotterranee, restrizioni, aree di nitrati, zone di nitrati"
3,56.0,KT_AG,Nitratgebiete,ch_ag_geo_afu_nitz_01,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Nitratgebiete||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_afu_nitz_01||1.3.0&E=2659705.839218268&N=1253545.0407211347&zoom=4,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_afu_nitz,ch_ag_geo_afu_nitz,"Darstellung der Nitratgebiete mit Zuströmbereichen und Nitratperimetern respektive der Nitratzonen. Zuströmbereiche und Nitratperimeter werden durch die Gemeinden für Gebiete ausgeschieden, in denen die ackerbauliche Nutzung zu erhöhter Nitratbelastung von Grundwasservorkommen führt. Mittels Nitratreglementen werden Einschränkungen für die landwirtschaftliche Nutzung verfügt, um die Nitratverluste ins Grundwasser zu reduzieren.","Umweltschutz, Lärm",,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,4.0,47.43,8.23,8.026589251636159 47.26573003774063 8.427611136357678 47.60273093895031,"ackerbauliche nutzung, nitratperimetern respektive, gebiete ausgeschieden, darstellung, nitratverluste, erhöhter nitratbelastung, grundwasser, mittels nitratreglementen, landwirtschaftliche nutzung verfügt, zuströmbereiche, nitratperimeter, gemeinden, zuströmbereichen, grundwasservorkommen führt, einschränkungen, nitratgebiete, nitratzonen",summary,DEU,DE,75,Nitratgebiete,Nitrate areas,Zones de nitrates,Aree di nitrati,"Darstellung der Nitratgebiete mit Zuströmbereichen und Nitratperimetern respektive der Nitratzonen. Zuströmbereiche und Nitratperimeter werden durch die Gemeinden für Gebiete ausgeschieden, in denen die ackerbauliche Nutzung zu erhöhter Nitratbelastung von Grundwasservorkommen führt. Mittels Nitratreglementen werden Einschränkungen für die landwirtschaftliche Nutzung verfügt, um die Nitratverluste ins Grundwasser zu reduzieren.",Represeion of the nitrate areas with inflow areas and nitrate perimeters or the nitrate zones. Inflow areas and nitrate perimeters are designated by the communities for areas in which agricultural use leads to increased nitrate pollution of groundwater resources. Nitrate regulations are used to impose restrictions oricultural use in order to reduce nitrate losses into groundwater.,Représeion des zones de nitrates avec les zones d apport et les périmètres de nitrates ou les zones de nitrates. Les zones d apport et les périmètres de nitrates sont désignés par les communautés pour les zones dans lesquelles l exploitatioricole entraîne une pollutiocrue des ressources en eaux souterraines par les nitrates. Les réglemeions sur les nitrates sont utilisées pour imposer des restrictions sur l utilisatioricole afin de réduire les pertes de nitrates dans les eaux souterraines.,Rappreseione delle aree dei nitrati coee di afflusso e perimetri dei nitrati o zone dei nitrati. Le aree di afflusso e i perimetri dei nitrati sono designati dalle comunità per le aree in cui l’uso agricolo porta ad umento dell’inquinamento da nitrati delle risorse idriche sotterranee. Le normative sui nitrati vengono utilizzate per imporre restrizioni sull’uso agricolo al fine di ridurre le perdite di nitrati nelle acque sotterranee.,"Umweltschutz, Lärm","Environme protection, noise","Protection de l environnement, bruit","Tutela dell ambiente, rumore","ackerbauliche nutzung, nitratperimetern respektive, gebiete ausgeschieden, darstellung, nitratverluste, erhöhter nitratbelastung, grundwasser, mittels nitratreglementen, landwirtschaftliche nutzung verfügt, zuströmbereiche, nitratperimeter, gemeinden, zuströmbereichen, grundwasservorkommen führt, einschränkungen, nitratgebiete, nitratzonen","agricultural use, nitrate perimeters, respectively, areas excluded, represeion, nitrate losses, increased nitrate pollution, groundwater, by means of nitrate regulations, agricultural use, inflow areas, nitrate perimeters, communities, inflow areas, groundwater reserves, restrictions, nitrate areas, nitrate zones","utilisatioricole, périmètres de nitrates, respectivement, zones exclues, représeion, pertes de nitrates, augmeion de la pollution par les nitrates, eaux souterraines, au moyen de réglemeions sur les nitrates, utilisatioricole, zones d arrivée, périmètres de nitrates, communautés, zones d arrivée, réserves d eaux souterraines, restrictions, superficies de nitrates, zones de nitrates","uso agricolo, perimetri dei nitrati, rispettivamente, aree escluse, rappreseione, perdite di nitrati, aumento dell inquinamento da nitrati, acque sotterranee, mediante normative sui nitrati, uso agricolo, aree di afflusso, perimetri di nitrati, comunità, aree di afflusso, riserve acquifere sotterranee, restrizioni, aree di nitrati, zone di nitrati"
4,65.0,KT_AG,Tigermücke,ch_ag_geo_al_Tigermuecke,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Tigermücke||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_al_Tigermuecke||1.3.0&E=2630208.61849828&N=1267775.6210156265&zoom=4,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_al_Tigermuecke,,Fang- oder Sichtungsstellen der Asiatischen Tigermücke.,Landwirtschaft,https://wms.geo.ag.ch/public/ows?service=WMS&version=1.3.0&request=GetLegendGraphic&format=image%2Fpng&width=20&height=20&layer=ch_ag_geo_al_Tigermuecke,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,4.0,47.56,7.84,7.5835400880944075 47.445496081544135 8.088097433869716 47.66465174066705,"sichtungsstellen, asiatischen tigermücke",summary,DEU,DE,75,Tigermücke,Tiger mosquito,Moustique tigre,Zaa tigre,Fang- oder Sichtungsstellen der Asiatischen Tigermücke.,Catching or sighting sites of the Asian tiger mosquito.,Sites de capture ou d observation du moustique tigre asiatique.,Siti di cattura o avvistamento della zaa tigre asiatica.,Landwirtschaft,agriculture,agriculture,agricoltura,"sichtungsstellen, asiatischen tigermücke","sighting sites, Asian tiger mosquito","sites d observation, moustique tigre asiatique","siti di avvistamento, zaa tigre asiatica"
5,66.0,KT_AG,Tigermücke,ch_ag_geo_al_tigermuecke_01,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Tigermücke||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_al_tigermuecke_01||1.3.0&E=2630208.61849828&N=1267775.6210156265&zoom=6,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_al_Tigermuecke,ch_ag_geo_al_Tigermuecke,Fang- oder Sichtungsstellen der Asiatischen Tigermücke.,Landwirtschaft,,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,6.0,47.56,7.84,7.7161300436779925 47.53609818055403 7.954100646997527 47.574476118789285,"sichtungsstellen, asiatischen tigermücke",summary,DEU,DE,75,Tigermücke,Tiger mosquito,Moustique tigre,Zaa tigre,Fang- oder Sichtungsstellen der Asiatischen Tigermücke.,Catching or sighting sites of the Asian tiger mosquito.,Sites de capture ou d observation du moustique tigre asiatique.,Siti di cattura o avvistamento della zaa tigre asiatica.,Landwirtschaft,Agriculture,Agriculture,Agricoltura,"sichtungsstellen, asiatischen tigermücke","sighting sites, Asian tiger mosquito","sites d observation, moustique tigre asiatique","siti di avvistamento, zaa tigre asiatica"
6,67.0,KT_AG,Tigermücken Bekämpfungszone,ch_ag_geo_al_Tigermueckezone,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Tigermücken Bekämpfungszone||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_al_Tigermueckezone||1.3.0&E=2630208.61849828&N=1267775.6210156265&zoom=4,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_al_Tigermueckezone,,Tigermücken Bekämpfungszone,Landwirtschaft,https://wms.geo.ag.ch/public/ows?service=WMS&version=1.3.0&request=GetLegendGraphic&format=image%2Fpng&width=20&height=20&layer=ch_ag_geo_al_Tigermueckezone,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,4.0,47.56,7.84,7.58115550603691 47.44352077234972 8.092734799052357 47.66687057374344,tigermücken bekämpfungszone,summary,DEU,DE,50,Tigermücken Bekämpfungszone,Tiger mosquito control zone,Zone de contrôle des moustiques tigres,Zona di controllo della zaa tigre,Tigermücken Bekämpfungszone,Tiger mosquito control zone,Zone de contrôle des moustiques tigres,Zona di controllo della zaa tigre,Landwirtschaft,Agriculture,Agriculture,Agricoltura,tigermücken bekämpfungszone,tiger mosquito control zone,zone de contrôle des moustiques tigres,zona di controllo della zaa tigre
7,68.0,KT_AG,Tigermücken Bekämpfungszone,ch_ag_geo_al_tigermueckezone_01,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Tigermücken Bekämpfungszone||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_al_tigermueckezone_01||1.3.0&E=2630208.61849828&N=1267775.6210156265&zoom=6,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_al_Tigermueckezone,ch_ag_geo_al_Tigermueckezone,Tigermücken Bekämpfungszone,Landwirtschaft,,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,6.0,47.56,7.84,7.714201392009265 47.534128139067086 7.958724671291188 47.57669663657694,tigermücken bekämpfungszone,summary,DEU,DE,50,Tigermücken Bekämpfungszone,Tiger mosquito control zone,Zone de contrôle des moustiques tigres,Zona di controllo della zaa tigre,Tigermücken Bekämpfungszone,Tiger mosquito control zone,Zone de contrôle des moustiques tigres,Zona di controllo della zaa tigre,Landwirtschaft,Agriculture,Agriculture,Agricoltura,tigermücken bekämpfungszone,tiger mosquito control zone,zone de contrôle des moustiques tigres,zona di controllo della zaa tigre
8,89.0,KT_AG,Klimaanalyse: Bioklimatische Bedeutung der Grün- und Freiflächen,ch_ag_geo_alg_KKgruenfl,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Klimaanalyse: Bioklimatische Bedeutung der Grün- und Freiflächen||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_alg_KKgruenfl||1.3.0&E=2649189.841967733&N=1247889.0223953363&zoom=3,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_alg_KKgruenfl,,Klimaanalyse: Bioklimatische Bedeutung von Grün- und Freiflächen,"Raumplanung, Raumentwicklung, Atmosphäre, Luft, Klima",https://wms.geo.ag.ch/public/ows?service=WMS&version=1.3.0&request=GetLegendGraphic&format=image%2Fpng&width=20&height=20&layer=ch_ag_geo_alg_KKgruenfl,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,3.0,47.38,8.09,7.580047447400937 47.04614469795718 8.59551434171397 47.71255546035221,"freiflächen, bioklimatische bedeutung, klimaanalyse",summary,DEU,DE,75,Klimaanalyse: Bioklimatische Bedeutung der Grün- und Freiflächen,Climate analysis: Bioclimatic importance of greed open spaces,Analyse climatique : Importance bioclimatique des espaces verts et ouverts,Analisi climatica: importabioclimatica degli spazi verdi e aperti,Klimaanalyse: Bioklimatische Bedeutung von Grün- und Freiflächen,Climate analysis: Bioclimatic importance of greed open spaces,Analyse climatique : Importance bioclimatique des espaces verts et ouverts,Analisi climatica: Importabioclimatica degli spazi verdi e aperti,"Raumplanung, Raumentwicklung, Atmosphäre, Luft, Klima","Spatial planning, spatial development, atmosphere, air, climate","Aménagement du territoire, aménagement du territoire, atmosphère, air, climat","Pianificazione del territorio, sviluppo territoriale, atmosfera, aria, clima","freiflächen, bioklimatische bedeutung, klimaanalyse","open spaces, bioclimatic significance, climate analysis","espaces ouverts, importance bioclimatique, analyse climatique","spazi aperti, significato bioclimatico, analisi del clima"
9,90.0,KT_AG,Aufenthaltsqualität Grün-/Freiflächen bezüglich Wärmebelastung,ch_ag_geo_alg_kkgruenfl_01,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Aufenthaltsqualität Grün-/Freiflächen bezüglich Wärmebelastung||https://wms.geo.ag.ch/public/ows?||ch_ag_geo_alg_kkgruenfl_01||1.3.0&E=2649189.841967733&N=1247889.0223953363&zoom=4,KT_AG/Geodaten des Kantons Aargau/ch_ag_geo_alg_KKgruenfl,ch_ag_geo_alg_KKgruenfl,Klimaanalyse: Bioklimatische Bedeutung von Grün- und Freiflächen,"Raumplanung, Raumentwicklung, Atmosphäre, Luft, Klima",,AGIS Service Center,https://wms.geo.ag.ch/public/ows,,,WMS,4.0,47.38,8.09,7.712112701727693 47.137320637810454 8.460554113815089 47.622382983087476,"freiflächen, bioklimatische bedeutung, klimaanalyse",summary,DEU,DE,75,Aufenthaltsqualität Grün-/Freiflächen bezüglich Wärmebelastung,Quality of stay in green/open spaces in terms of heat load,Qualité du séjour dans les espaces verts/ouverts en termes de charge thermique,Qualità della permanenegli spazi verdi/aperti in termini di carico termico,Klimaanalyse: Bioklimatische Bedeutung von Grün- und Freiflächen,Climate analysis: Bioclimatic importance of greed open spaces,Analyse climatique : Importance bioclimatique des espaces verts et ouverts,Analisi climatica: Importabioclimatica degli spazi verdi e aperti,"Raumplanung, Raumentwicklung, Atmosphäre, Luft, Klima","Spatial planning, spatial development, atmosphere, air, climate","Aménagement du territoire, aménagement du territoire, atmosphère, air, climat","Pianificazione del territorio, sviluppo territoriale, atmosfera, aria, clima","freiflächen, bioklimatische bedeutung, klimaanalyse","open spaces, bioclimatic significance, climate analysis","espaces ouverts, importance bioclimatique, analyse climatique","spazi aperti, significato bioclimatico, analisi del clima"
