,provider,title,name,preview,tree,group,abstract,keywords,legend,contact,endpoint,metadata,update,service,max_zoom,center_lat,center_lon,bbox,keywords_nlp,summary,lang_3,lang_2,metaquality,title_en,abstract_en,keywords_en,keywords_nlp_en
0,KT_AI,Abwasser Baujahr Gde,ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Baujahr Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Diese Karte zeigt das Alter der Abwasserleitungen an.,GEP,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde&mapId=3063&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"abwasserleitungen, karte zeigt, alter",summary,DEU,DE,75,Wastewater year of construction GDE,This card shows the age of the wastewater pipes.,GEP,"Wastewater pipes, map shows, age"
1,KT_AI,Abwasser Funktion Hierarchisch Gde,ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Funktion Hierarchisch Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Diese Karte zeigt das hierarchische Funktion der Abwasserleitungen an.,GEP,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde&mapId=3064&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"abwasserleitungen, hierarchische funktion, karte zeigt",summary,DEU,DE,75,Wastewater function hierarchical GDE,This card shows the hierarchical function of the wastewater pipes.,GEP,"Wastewater pipes, hierarchical function, card shows"
8,KT_AI,Amtliche Vermessung grau Gde (Kopie),ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3209.0.amtliche_vermessung_grau_gde_kopie,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Amtliche Vermessung grau Gde (Kopie)||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3209.0.amtliche_vermessung_grau_gde_kopie||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in grau/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50-000 bis 1:1-000-000 in Graustufen an.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3209.0.amtliche_vermessung_grau_gde_kopie&mapId=3209&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"graustufenfüllung, landeskarten, gebäude, projektierten stand, kommunalen übersichtsplan, rechtsgültigen stand, karte zeigt, roter farbe, 000, amtlichen vermessung, graustufen",summary,DEU,DE,50,Official measurement gray (copy),"This card shows in red color the pendants or projected state of official measurement and in gray/white presentation their current, right-wing stand, with gray level filling of the buildings, as well as the municipal overview plan and the state maps of Swisstopo 1: 50-000 to 1: 1-000-000 in grayscale.",nan,"Grayscale filling, state maps, buildings, planned status, municipal overview plan, legal status, map shows, red color, 000, official measurement, grayscale"
9,KT_AI,Amtliche Vermessung grau Gde (Kopie),ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3208.0.amtliche_vermessung_grau_gde_kopie,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Amtliche Vermessung grau Gde (Kopie)||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3208.0.amtliche_vermessung_grau_gde_kopie||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in grau/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50-000 bis 1:1-000-000 in Graustufen an.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3208.0.amtliche_vermessung_grau_gde_kopie&mapId=3208&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"graustufenfüllung, landeskarten, gebäude, projektierten stand, kommunalen übersichtsplan, rechtsgültigen stand, karte zeigt, roter farbe, 000, amtlichen vermessung, graustufen",summary,DEU,DE,50,Official measurement gray (copy),"This card shows in red color the pendants or projected state of official measurement and in gray/white presentation their current, right-wing stand, with gray level filling of the buildings, as well as the municipal overview plan and the state maps of Swisstopo 1: 50-000 to 1: 1-000-000 in grayscale.",nan,"Grayscale filling, state maps, buildings, planned status, municipal overview plan, legal status, map shows, red color, 000, official measurement, grayscale"
12,KT_AI,Ausflug mit Freunden (Karte von Zukunftstag),ch.geoportal.bevoelkerung_gesellschaft_kultur.3206.0.ausflug_mit_freunden_karte_von_zukunftstag,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Ausflug mit Freunden (Karte von Zukunftstag)||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.bevoelkerung_gesellschaft_kultur.3206.0.ausflug_mit_freunden_karte_von_zukunftstag||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,In der Karte sieht man mögliche Ausflugsziele für Freundesgruppen. Die Karte wurde im Rahmen des Zukunftstag erstellt.,nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.bevoelkerung_gesellschaft_kultur.3206.0.ausflug_mit_freunden_karte_von_zukunftstag&mapId=3206&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"karte sieht, karte wurde, mögliche ausflugsziele, rahmen, zukunftstag erstellt, freundesgruppen",summary,DEU,DE,50,Excursion with friends (map of Future Day),On the map you can see possible excursion destinations for groups of friends. The card was created as part of the Future Day.,nan,"Card sees, card was made, possible excursion destinations, frame, future day, friends group"
20,KT_AI,Bodenkarte Kt AI,ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bodenkarte Kt AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Darstellung der verfügbaren Informationen über Bodeneinheiten, Bodenprofile und Horizonte in Landwirtschaftsgebieten des Kantons Appenzell I.Rh. (Bodenkarte). Die Daten stammen aus der Fachapplikation NABODAT des Bundes.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai&mapId=2947&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"bundes, landwirtschaftsgebieten, bodenprofile, bodeneinheiten, kantons appenzell i, daten stammen, fachapplikation nabodat, horizonte, verfügbaren informationen, darstellung, bodenkarte",summary,DEU,DE,50,Soil map KT AI,"Representation of the available information about soil units, soil profiles and horizons in agricultural areas of the canton of Appenzell I.Rh. (Floor map). The data comes from the federal specialist application Nabodat of the federal government.",nan,"Federation, agricultural areas, soil profiles, soil units, cantons of Appenzell I, data, data, specialist application Nabodat, horizons, available information, presentation, display"
22,KT_AI,Bundesinventare Naturschutz CH,ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bundesinventare Naturschutz CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Die Karte zeigt eine Zusammenstellung der Bundesinventare des Bereiches Naturschutz.,nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch&mapId=2636&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"zusammenstellung, bereiches naturschutz, bundesinventare, karte zeigt",summary,DEU,DE,50,Federal Inventory Nature Conservation CH,The map shows a compilation of the federal inventories of nature conservation.,nan,"Compilation, area of ​​nature conservation, federal inventories, map shows"
25,KT_AI,Einzugsgebietanalyse Gesundheitsdienstleistungen,ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Einzugsgebietanalyse Gesundheitsdienstleistungen||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Gesundheitsdienstleistungen erreichbar mit dem Auto in 10 bzw. 5 min Fahrzeit mit 50 km/h Geschwindigkeit und möglicher Laufdistanz von 800m. Folgende Gesundheitsdienstleistungen wurden berücksichtigt : Ärzte, Zahnarzt / Zahnärztin, Drogerie ,Krankenhaus, Klinik, Apotheke , Optiker / Optikerin. Die Daten Grundlage basiert auf den frei zugänglichen OpenStreetMap Daten.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen&mapId=2892&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"10 bzw, optikerin, h geschwindigkeit, zahnärztin, apotheke, klinik, zahnarzt, auto, optiker, 5 min fahrzeit, gesundheitsdienstleistungen erreichbar, krankenhaus, drogerie, möglicher laufdistanz, daten grundlage basiert, ärzte, 50 km",summary,DEU,DE,50,Catch area analysis health services,"Health services Available by car in 10 or 5 minutes driving time at 50 km/h speed and possible running distance of 800m. The following health services were taken into account: doctors, dentists, drugstores, hospital, clinic, pharmacy, optician / optician. The data basis is based on the freely accessible OpenStreetMap data.",nan,"10 or, optician, h speed, dentist, pharmacy, clinic, dentist, car, optician, 5 min travel time, healthcare services, hospital, drugstore, possible running distance, data basis based, doctors, 50 km"
28,KT_AI,Elektrizitätsproduktionsanlagen CH,ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Elektrizitätsproduktionsanlagen CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Eine Elektrizitätsproduktionsanlage ist eine technische Einrichtung zur Erzeugung von Strom.Es ist von allgemeinem Interesse, eine räumliche Übersicht über sämtliche Elektrizitätsproduktionsanlagen der Schweiz zu haben. Insbesondere soll der Zubau an Produktionsanlagen, die Elektrizität aus erneuerbaren Energien produzieren, transparent dargestellt werden. Zudem kann das Verhältnis der Anlagen, die Elektrizität aus erneuerbaren Energien produzieren, zu den Anlagen, die Elektrizität aus nicht erneuerbaren Energien produzieren, sichtbar gemacht werden. Man unterscheidet zwischen Wasserkraft, Photovoltaik, Windenergie, Biomasse, Geothermie, Kernenergie, Erdöl, Erdgas und Kohle. Dieser Datenbestand enthält alle Elektrizitätsproduktionsanlagen, welche im Schweizerischen Herkunftsnachweissystem registriert sind. Darunter fallen zum einen alle Anlagen mit einer Leistung grösser 30 Kilovoltampere (kVA), sowie Kleinanlagen (grösser als 2 Kilowatt), welche freiwillig für die Ausstellung von Herkunftsnachweisen (HKN) registriert worden sind. Zum anderen enthält der Datenbestand Anlagen, die durch eine Einspeisevergütung, Einmalvergütung, Mehrkostenfinanzierung oder einen Investitionsbeitrag geförderten werden (gemäss Art. 19 und 24; EnG). Es sind nur Elektrizitätsproduktionsanlagen enthalten, welche in Betrieb sind.","Wasserkraft, Photovoltaik, Windenergie, Biomasse, Geothermie, Kernenergie, Erdöl, Erdgas",https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch&mapId=2671&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"hkn, anlagen, herkunftsnachweisen, verhältnis, strom, schweiz, wasserkraft, elektrizität, elektrizitätsproduktionsanlage, gemäss art, elektrizitätsproduktionsanlagen, elektrizitätsproduktionsanlagen enthalten, ausstellung, erneuerbaren energien produzieren, einmalvergütung, biomasse, schweizerischen herkunftsnachweissystem registriert, photovoltaik, datenbestand enthält, erdgas, eng, datenbestand anlagen, allgemeinem interesse, kohle, geothermie, kernenergie, einspeisevergütung, mehrkostenfinanzierung, investitionsbeitrag geförderten, technische einrichtung, sämtliche elektrizitätsproduktionsanlagen, betrieb, 24, erzeugung, 19, räumliche übersicht, erdöl, 2 kilowatt, zubau, windenergie, produktionsanlagen",summary,DEU,DE,75,Electricity production systems CH,"An electricity production system is a technical facility to generate electricity. It is of general interest to have a spatial overview of all Switzerland electricity production systems. In particular, the extension to production systems that produce electricity from renewable energies is to be displayed transparently. In addition, the ratio of the systems that produce electricity from renewable energies can be made visible to the systems that produce electricity from non -renewable energies. A distinction is made between hydropower, photovoltaics, wind energy, biomass, geothermal energy, nuclear energy, petroleum, natural gas and coal. This database contains all electricity production systems that are registered in the Swiss Investigation of the Investigation of origin. On the one hand, all systems with a power of larger 30 kilovolta meadows (KVA), as well as small systems (larger than 2 kilowatts), which have been voluntarily registered for the issuing of proof of origin (HKN). On the other hand, the database contains plants that are funded by a feed -in tariff, one -time tariff, additional cost financing or an investment contribution (according to Art. 19 and 24; Eng). There are only electricity production systems that are in operation.","Hydropower, photovoltaics, wind energy, biomass, geothermal energy, nuclear energy, petroleum, natural gas","HKN, plants, evidence of origin, ratio, electricity, Switzerland, hydropower, electricity, electricity production system, according to type, electricity production systems, electricity production systems contain, exhibition, renewable energies, single remuneration, biomass, Swiss reference to the use of origin, contains, photovoltaic, database, natural gas, data stock, general Interest, coal, geothermal energy, nuclear energy, feed -in tariff, additional cost financing, investment contribution funded, technical facility, technical facility, all electricity production systems, operations, 24, generation, 19, spatial overview, petroleum, 2 kilowatts, expansion, wind energy, production facilities"
39,KT_AI,Evangelisch-Reformierte Kirchgemeinden Kt AI,ch.geoportal.politische_und_administrative_grenzen.2904.0.evangelischreformierte_kirchgemeinden_kt_ai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Evangelisch-Reformierte Kirchgemeinden Kt AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.politische_und_administrative_grenzen.2904.0.evangelischreformierte_kirchgemeinden_kt_ai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Die Karte zeigt die Grenzen der Evangelisch-Reformierten Kirche des Kantons Appenzell I. Rh.,nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.politische_und_administrative_grenzen.2904.0.evangelischreformierte_kirchgemeinden_kt_ai&mapId=2904&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"kantons appenzell i, grenzen, karte zeigt, reformierten kirche, rh",summary,DEU,DE,50,Evangelical Reformed parishes KT AI,The map shows the boundaries of the Protestant Reformed Church of the Canton of Appenzell I. RH.,nan,"Canton s Appenzell I, borders, map shows, Reformed Church, RH"
