,provider,title,name,preview,tree,group,abstract,keywords,legend,contact,endpoint,metadata,update,service,max_zoom,center_lat,center_lon,bbox,keywords_nlp,summary,lang_3,lang_2,metaquality,title_fr,abstract_fr,keywords_fr,keywords_nlp_fr
0,KT_AI,Abwasser Baujahr Gde,ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Baujahr Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Diese Karte zeigt das Alter der Abwasserleitungen an.,GEP,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde&mapId=3063&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"karte zeigt, alter, abwasserleitungen",summary,DEU,DE,75,Année des eaux usées de construction GDE,Cette carte montre l âge des tuyaux des eaux usées.,GEP,"Map montre, l âge, les tuyaux des eaux usées"
1,KT_AI,Abwasser Funktion Hierarchisch Gde,ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Funktion Hierarchisch Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Diese Karte zeigt das hierarchische Funktion der Abwasserleitungen an.,GEP,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde&mapId=3064&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"karte zeigt, hierarchische funktion, abwasserleitungen",summary,DEU,DE,75,Fonction des eaux usées GDE hiérarchique,Cette carte montre la fonction hiérarchique des tuyaux des eaux usées.,GEP,"Map montre, fonction hiérarchique, tuyaux des eaux usées"
17,KT_AI,Bodenkarte Kt AI,ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bodenkarte Kt AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Darstellung der verfügbaren Informationen über Bodeneinheiten, Bodenprofile und Horizonte in Landwirtschaftsgebieten des Kantons Appenzell I.Rh. (Bodenkarte). Die Daten stammen aus der Fachapplikation NABODAT des Bundes.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai&mapId=2947&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"darstellung, bodeneinheiten, fachapplikation nabodat, landwirtschaftsgebieten, horizonte, kantons appenzell i, bodenkarte, verfügbaren informationen, bundes, bodenprofile, daten stammen",summary,DEU,DE,50,Carte du sol KT AI,"Représentation des informations disponibles sur les unités du sol, les profils de sol et les horizons dans les zones agricoles du canton de l appenzell I.Rh. (Carte de plancher). Les données proviennent de la demande spécialisée fédérale nabodat du gouvernement fédéral.",Nan,"Représentation, unités de plancher, application spécialisée Nabodat, zones agricoles, horizons, cantons d appenzell I, carte du sol, informations disponibles, fédéral, profils de sol, données sur"
19,KT_AI,Bundesinventare Naturschutz CH,ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bundesinventare Naturschutz CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Die Karte zeigt eine Zusammenstellung der Bundesinventare des Bereiches Naturschutz.,nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch&mapId=2636&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"karte zeigt, bereiches naturschutz, zusammenstellung, bundesinventare",summary,DEU,DE,50,Inventaire fédéral Conservation de la nature Ch,La carte montre une compilation des inventaires fédéraux de la conservation de la nature.,Nan,"Map montre la zone, conservation de la nature, compilation, inventaires fédéraux"
22,KT_AI,Einzugsgebietanalyse Gesundheitsdienstleistungen,ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Einzugsgebietanalyse Gesundheitsdienstleistungen||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Gesundheitsdienstleistungen erreichbar mit dem Auto in 10 bzw. 5 min Fahrzeit mit 50 km/h Geschwindigkeit und möglicher Laufdistanz von 800m. Folgende Gesundheitsdienstleistungen wurden berücksichtigt : Ärzte, Zahnarzt / Zahnärztin, Drogerie ,Krankenhaus, Klinik, Apotheke , Optiker / Optikerin. Die Daten Grundlage basiert auf den frei zugänglichen OpenStreetMap Daten.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen&mapId=2892&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"50 km, apotheke, optikerin, daten grundlage basiert, auto, zahnarzt, 10 bzw, optiker, möglicher laufdistanz, h geschwindigkeit, zahnärztin, 5 min fahrzeit, krankenhaus, drogerie, klinik, ärzte, gesundheitsdienstleistungen erreichbar",summary,DEU,DE,50,Catch Area Analysis Health Services,"Services de santé disponibles en voiture en 10 ou 5 minutes de conduite à 50 km / h de vitesse et une distance de course possible de 800 m. Les services de santé suivants ont été pris en compte: médecins, dentistes, pharmacies, hôpital, clinique, pharmacie, opticien / opticien. La base de données est basée sur les données OpenStreetMap librement accessibles.",Nan,"50 km, pharmacie, opticien, base de données, voiture, dentiste, 10 ou opticien, éventuelle distance de course, vitesse h, dentiste, 5 min de temps de trajet, hôpital, pharmacie, clinique, médecins, services de santé Traversé"
25,KT_AI,Elektrizitätsproduktionsanlagen CH,ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Elektrizitätsproduktionsanlagen CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Eine Elektrizitätsproduktionsanlage ist eine technische Einrichtung zur Erzeugung von Strom.Es ist von allgemeinem Interesse, eine räumliche Übersicht über sämtliche Elektrizitätsproduktionsanlagen der Schweiz zu haben. Insbesondere soll der Zubau an Produktionsanlagen, die Elektrizität aus erneuerbaren Energien produzieren, transparent dargestellt werden. Zudem kann das Verhältnis der Anlagen, die Elektrizität aus erneuerbaren Energien produzieren, zu den Anlagen, die Elektrizität aus nicht erneuerbaren Energien produzieren, sichtbar gemacht werden. Man unterscheidet zwischen Wasserkraft, Photovoltaik, Windenergie, Biomasse, Geothermie, Kernenergie, Erdöl, Erdgas und Kohle. Dieser Datenbestand enthält alle Elektrizitätsproduktionsanlagen, welche im Schweizerischen Herkunftsnachweissystem registriert sind. Darunter fallen zum einen alle Anlagen mit einer Leistung grösser 30 Kilovoltampere (kVA), sowie Kleinanlagen (grösser als 2 Kilowatt), welche freiwillig für die Ausstellung von Herkunftsnachweisen (HKN) registriert worden sind. Zum anderen enthält der Datenbestand Anlagen, die durch eine Einspeisevergütung, Einmalvergütung, Mehrkostenfinanzierung oder einen Investitionsbeitrag geförderten werden (gemäss Art. 19 und 24; EnG). Es sind nur Elektrizitätsproduktionsanlagen enthalten, welche in Betrieb sind.","Wasserkraft, Photovoltaik, Windenergie, Biomasse, Geothermie, Kernenergie, Erdöl, Erdgas",https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch&mapId=2671&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"produktionsanlagen, mehrkostenfinanzierung, investitionsbeitrag geförderten, betrieb, einspeisevergütung, wasserkraft, schweiz, elektrizitätsproduktionsanlagen, kohle, datenbestand enthält, erzeugung, geothermie, erdöl, eng, elektrizität, räumliche übersicht, elektrizitätsproduktionsanlage, biomasse, photovoltaik, 19, windenergie, erneuerbaren energien produzieren, 24, technische einrichtung, sämtliche elektrizitätsproduktionsanlagen, herkunftsnachweisen, ausstellung, allgemeinem interesse, schweizerischen herkunftsnachweissystem registriert, 2 kilowatt, datenbestand anlagen, strom, verhältnis, hkn, einmalvergütung, elektrizitätsproduktionsanlagen enthalten, kernenergie, anlagen, gemäss art, erdgas, zubau",summary,DEU,DE,75,Systèmes de production d électricité ch,"Un système de production d électricité est une installation technique pour produire de l électricité. Il est d un intérêt général d avoir un aperçu spatial de tous les systèmes de production d électricité en Suisse. En particulier, l extension des systèmes de production qui produisent de l électricité à partir d énergies renouvelables doit être affichée de manière transparente. De plus, le rapport des systèmes qui produisent de l électricité à partir d énergies renouvelables peuvent être rendus visibles par les systèmes qui produisent l électricité à partir d énergies non renouvelables. Une distinction est faite entre hydroélectricité, photovoltaïque, énergie éolienne, biomasse, énergie géothermique, énergie nucléaire, pétrole, gaz naturel et charbon. Cette base de données contient tous les systèmes de production d électricité enregistrés dans l enquête suisse sur l enquête d origine. D une part, tous les systèmes avec une puissance de plus grands prairies de 30 kilovolta (KVA), ainsi que de petits systèmes (plus de 2 kilowatts), qui ont été volontairement enregistrés pour la délivrance de preuve d origine (HKN). D un autre côté, la base de données contient des usines financées par un tarif de flux, un tarif à un temps, un financement supplémentaire de coûts ou une contribution d investissement (selon les arts 19 et 24; ENG). Il n y a que des systèmes de production d électricité qui fonctionnent.","Hydroélectricité, photovoltaïque, énergie éolienne, biomasse, énergie géothermique, énergie nucléaire, pétrole, gaz naturel","Systèmes de production, financement supplémentaire des coûts, contribution d investissement financée, entreprise, alimentation -in tarif, hydroélectricité, Suisse, systèmes de production d électricité, charbon, base de données, génération d électricité, biomasse, photovoltaïque, 19 ans, énergie éolienne, énergie renouvelable, création d établissements, établissement de la production d électricité, preuve de la proximité, de la rénovation, de la transmission, de la transmission, système enregistré, 2 kilowatts, stocks de données, électricité, ratio, HKN, tarif unique, systèmes de production d électricité, énergie nucléaire, systèmes, selon le type, le gaz naturel, l extension"
36,KT_AI,Evangelisch-Reformierte Kirchgemeinden Kt AI,ch.geoportal.politische_und_administrative_grenzen.2904.0.evangelischreformierte_kirchgemeinden_kt_ai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Evangelisch-Reformierte Kirchgemeinden Kt AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.politische_und_administrative_grenzen.2904.0.evangelischreformierte_kirchgemeinden_kt_ai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,Die Karte zeigt die Grenzen der Evangelisch-Reformierten Kirche des Kantons Appenzell I. Rh.,nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.politische_und_administrative_grenzen.2904.0.evangelischreformierte_kirchgemeinden_kt_ai&mapId=2904&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"reformierten kirche, rh, grenzen, kantons appenzell i, karte zeigt",summary,DEU,DE,50,Paroisses réformées évangéliques Kt Ai,La carte montre les limites de l Église réformée protestante du canton d Appenzell I. Rh.,Nan,"Église réformée, RH, frontières, cantons d Appenzell I, Map montre la carte"
41,KT_AI,Fliesswegkarte CH,ch.geoportal.geologie_boden_naturbedingte_risiken.2975.0.fliesswegkarte_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Fliesswegkarte CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.geologie_boden_naturbedingte_risiken.2975.0.fliesswegkarte_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Die Fliesswegkarte zeigt die neu berechneten Fliesswege für Oberflächenabfluss (L-Faktor der Universal Soil Loss Equation bzw. der Erosionsrisikokarte) auf der landwirtschaftlich genutzten Fläche innerhalb der Feldblöcke. Die Fliesswege basieren auf dem Geländemodell SwissALTI3D und Multiple-Flow-Algorithmen. Sie bilden die Bereiche ab, an denen sich aufgrund der Topographie das Wasser sammeln und abfliessen würde. Je dunkler die Farbe, desto grösser die mögliche Abflussmenge und damit auch das Erosionsrisiko. Das Erosionsrisiko für lineare Erosion in Tiefenlinien (Talwegerosion) und mögliche Schäden ausserhalb des Feldblocks (Off-Site-Schäden) z.B. an Strassen und Gewässern können mit dieser Karte gut sichtbar gemacht werden.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.geologie_boden_naturbedingte_risiken.2975.0.fliesswegkarte_ch&mapId=2975&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"oberflächenabfluss, tiefenlinien, feldblöcke, geländemodell swissalti3d, feldblocks, erosionsrisikokarte, talwegerosion, schäden, fliesswegkarte zeigt, neu berechneten fliesswege, topographie, erosionsrisiko, mögliche abflussmenge, fliesswege basieren, farbe, mögliche schäden ausserhalb, lineare erosion, gewässern, strassen, bereiche ab, wasser sammeln",summary,DEU,DE,50,Carte de route de flux ch,"La carte fluide montre les voies d écoulement nouvellement calculées pour le drainage de surface (facteur en L de l équation de perte de sol universelle ou la carte de risque d érosion) sur la zone agricole dans les blocs de champ. Les chemins d écoulement sont basés sur les algorithmes Swissalti3D et plusieurs flux. Ils représentent les zones où l eau s accumulerait et s écoulerait en raison de la topographie. Plus la couleur est sombre, plus la quantité de drainage possible est grande et donc aussi le risque d érosion. Le risque d érosion d érosion linéaire en lignes profondes (érosion du chemin de la vallée) et des dommages possibles à l extérieur du bloc sur le terrain (dommages hors site), par exemple, dans les rues et l eau peuvent être rendus clairement visibles avec cette carte.",Nan,"Drainage de surface, lignes profondes, blocs de terrain, modèle de champ Swissalti3d, blocs de terrain, carte de risque d érosion, vallée patherosion, dommages, cartes d écoulement, voies, couleurs nouvellement calculé"
42,KT_AI,Forstreviere Kt AI,ch.geoportal.wald_flora_fauna.2919.0.forstreviere_kt_ai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Forstreviere Kt AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.wald_flora_fauna.2919.0.forstreviere_kt_ai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Die Karte zeigt die Perimeter der Forstreviere und die Gebiete, die ausserkantonal beförstert werden. Forstreviere sind eine administrative Unterteilung der Waldgebiete und Teil der Forstorganisation gemäss Art. 51 Waldgesetz (WaG).",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.wald_flora_fauna.2919.0.forstreviere_kt_ai&mapId=2919&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"perimeter, 51 waldgesetz, teil, waldgebiete, wag, forstorganisation gemäss art, karte zeigt, administrative unterteilung, gebiete",summary,DEU,DE,50,Forsvierere Kt Ai,La carte montre les périmètres des quartiers forestiers et les zones interdépendantes. Forstrevière sont une subdivision administrative des zones forestières et une partie de l organisation forestière conformément à l art. 51 Forest Act (WAG).,Nan,"Périmètre, 51 loi forestière, partie, zones forestières, WAG, organisation forestière conformément à l art, spectacles de carte, subdivision administrative, zones"
43,KT_AI,Fruchtfolgeflächen Kt,ch.geoportal.raumplanung_grundstueckskataster.24.0.fruchtfolgeflaechen_kt,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Fruchtfolgeflächen Kt||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.raumplanung_grundstueckskataster.24.0.fruchtfolgeflaechen_kt||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,KT_AI/WMS Geoportal.ch/ch.geoportal.ktai,ch.geoportal.ktai,"Die Karte Fruchtfolgeflächen zeigt diejenigen landwirtschaftlichen Produktionsflächen, die nötig sind, damit in Zeiten gestörter Zufuhr die ausreichende Versorgungsbasis des Landes im Sinne der Ernährungsplanung gewährleistet werden kann. Zusätzlich zu den gültigen Fruchtfolgeflächen sind auch die aktuellen Kompensationsflächen dargestellt, welche aufgrund eines Verbrauchs von Fruchtfolgefläche notwendig werden und nach der Aufwertung ebenfalls in gültige Fruchtfolgeflächen übergehen werden.",nan,https://www.geoportal.ch/services/wms/ktai?request=GetLegendGraphic&version=1.3.0&layer=ch.geoportal.raumplanung_grundstueckskataster.24.0.fruchtfolgeflaechen_kt&mapId=24&filterIds=&format=image/png,nan,https://www.geoportal.ch/services/wms/ktai,https://metadata.geoportal.ch,nan,WMS,5.0,47.34,9.46,9.297 47.225 9.632 47.453,"ernährungsplanung gewährleistet, fruchtfolgefläche notwendig, gültigen fruchtfolgeflächen, aktuellen kompensationsflächen dargestellt, zeiten gestörter zufuhr, landes, aufwertung ebenfalls, ausreichende versorgungsbasis, gültige fruchtfolgeflächen übergehen, verbrauchs, sinne",summary,DEU,DE,50,Zone de coûts KT,"La carte des surfaces de la fin des fruits montre les zones de production agricoles qui sont nécessaires afin que la base d approvisionnement suffisante du pays au sens de la planification nutritionnelle puisse être garantie en période de déformation. En plus des surfaces de rotation des cultures valides, les zones de compensation actuelles sont également affichées, ce qui est nécessaire en raison d une consommation de surface de raccourcissement -fog et passera également dans des surfaces populaires valides après la mise à niveau.",Nan,"Garanties de planification nutritionnelle, liquide d engrais, surfaces de rotation des cultures valides, zones de rémunération actuelles montrées, périodes de consommation perturbée, pays, mise à niveau également, base d approvisionnement suffisante, zones de culture valides passer, consommation, sens"
