dataset_identifier,contact_type,contact_email,contact_name,origin,xml_filename
ur-2183,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2183.xml
ur-2183,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2183.xml
ur-2182,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2182.xml
ur-2182,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2182.xml
ur-2164,,,Lisag AG,geocat.ch,ur-2164.xml
ur-2164,,,Lisag AG,geocat.ch,ur-2164.xml
ur-2181,,,Amt für Landwirtschaft Kt. Uri,geocat.ch,ur-2181.xml
ur-2181,,,Amt für Landwirtschaft Kt. Uri,geocat.ch,ur-2181.xml
ur-2175,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2175.xml
ur-2175,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2175.xml
ur-2170,,,Amt für Landwirtschaft Kt. Uri,geocat.ch,ur-2170.xml
ur-2170,,,Amt für Landwirtschaft Kt. Uri,geocat.ch,ur-2170.xml
ur-2176,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2176.xml
ur-2176,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2176.xml
ur-2165,,,Amt für Strassen- und Schiffsverkehr Kt. Uri,geocat.ch,ur-2165.xml
ur-2165,,,Amt für Strassen- und Schiffsverkehr Kt. Uri,geocat.ch,ur-2165.xml
ur-2163,,,Amt für Forst und Jagd Kt. Uri,geocat.ch,ur-2163.xml
ur-2163,,,Amt für Forst und Jagd Kt. Uri,geocat.ch,ur-2163.xml
ur-2155,,,Lisag AG,geocat.ch,ur-2155.xml
ur-2155,,,Lisag AG,geocat.ch,ur-2155.xml
ur-2171,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2171.xml
ur-2171,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2171.xml
ur-2159,,,Lisag AG,geocat.ch,ur-2159.xml
ur-2159,,,Lisag AG,geocat.ch,ur-2159.xml
ur-2184,,,Amt für Raumentwicklung Kt. Uri,geocat.ch,ur-2184.xml
ur-2184,,,Amt für Raumentwicklung Kt. Uri,geocat.ch,ur-2184.xml
ur-2177,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2177.xml
ur-2177,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2177.xml
ur-2173,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2173.xml
ur-2173,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2173.xml
ur-2172,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2172.xml
ur-2172,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2172.xml
ur-2156,,,Lisag AG,geocat.ch,ur-2156.xml
ur-2156,,,Lisag AG,geocat.ch,ur-2156.xml
ur-2179,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2179.xml
ur-2179,,,Amt für Umwelt Kt. Uri,geocat.ch,ur-2179.xml
ur-2158,,,Lisag AG,geocat.ch,ur-2158.xml
ur-2158,,,Lisag AG,geocat.ch,ur-2158.xml
ur-2161,,,Lisag AG,geocat.ch,ur-2161.xml
ur-2161,,,Lisag AG,geocat.ch,ur-2161.xml
ur-2180,,,Lisag AG,geocat.ch,ur-2180.xml
ur-2180,,,Lisag AG,geocat.ch,ur-2180.xml
ur-2174,,,Amt für Raumentwicklung Kt. Uri,geocat.ch,ur-2174.xml
ur-2174,,,Amt für Raumentwicklung Kt. Uri,geocat.ch,ur-2174.xml
ur-2185,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2185.xml
ur-2185,,,Amt für Tiefbau Kt. Uri,geocat.ch,ur-2185.xml
