dataset_identifier,origin,xml_filename,dataset_language,dataset_title_de,dataset_keyword_de,dataset_description_de,dataset_title_unknown,dataset_keyword_unknown,dataset_description_unknown,dataset_title_en,dataset_keyword_en,dataset_description_en,dataset_keyword_fr,dataset_title_fr,dataset_description_fr,dataset_title_it,dataset_keyword_it,dataset_description_it,dataset_title_rm,dataset_keyword_rm,dataset_description_rm,dataset_publisher_name,dataset_publisher_url,dataset_spatial,dataset_theme,dataset_issued,dataset_is_mobility,dataset_location_id,dataset_location,dataset_location_district,dataset_location_canton,dataset_location_country,dataset_language_status_de,dataset_language_status_en,dataset_language_status_fr,dataset_language_status_it,dataset_language_status_unknown,dataset_language_quality,dataset_description_length_de,dataset_description_length_en,dataset_description_length_fr,dataset_description_length_it,dataset_description_length_rm,dataset_distribution_format_count,dataset_keyword_count_de,dataset_keyword_count_en,dataset_keyword_count_fr,dataset_keyword_count_it,dataset_keyword_count_rm,dataset_cluster_id
ur-1879,geocat.ch,ur-1879.xml,,,,,Ökomorphologie Nachkartierung 2021,,Ökomorphologie Nachkartierung 2021,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['inlandWaters'],2021-08-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1864,geocat.ch,ur-1864.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Konzessionen Erdsonden,"['Geobasisdaten', 'opendata.swiss']","Hier sind die vom Kanton Uri verliehenen Konzessionen zur Wärmenutzung mittels Erdsonden als Punkte aufgeschaltet. Die Wärme aus Erdsonden wird in den meisten Fällen zu Heizzwecken (mit Wärmepumpen) genutzt. Es gibt aber auch andere Anwendungen wie zum Beispiel zur Kühlung (Klimatisierung, Prozesskühlung). Ergänzende Informationen für die Wärmenutzung aus Boden und Untergrund liefert das Wärmenutzungskonzept Kanton Uri 2017 (auf www.ur.ch) sowie die folgenden Layer auf www.geo.ur.ch: Konzessionen Grundwasserwärmepumpen, Zulässigkeit Erdsonden, Zulässigkeit Grundwasserwärmepumpen, Grundwasserleiter und Isohypsen.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Energy', 'utilitiesCommunication']",2025-08-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1840,geocat.ch,ur-1840.xml,,,,,Wasser Hydranten,,In diesem Datensatz werden die Hydranten aus dem Wasserversorgungsnetz  dargestellt.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2025-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1785,geocat.ch,ur-1785.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Entsorgungsrouten Kehricht,"['Geobasisdaten', 'opendata.swiss']","Die ZAKU sammelt im Auftrag der Gemeinden den Kehricht im Kanton Uri entlang von festgelegten Sammelrouten. Diese werden wöchentlich abgefahren. Aller morgens ab 07.00 Uhr ordnungsgemäss bereitgestellter Kehricht entlang dieser Routen wird eingesammelt. Die Anforderungen an die Bereitstellung des Kehrichts finden sich im Abfall-Infoblatt, welches jährlich in alle Haushaltungen verteilt wird sowie unter dem Link ""https://www.zaku.ch"". Der Layer ""Entsorgungsrouten Kehricht"" bildet zusammen mit dem Layer ""Entsorgungsrouten Grüngut"" den Geobasisdatensatz ""35-UR Entsorgungsrouten Siedlungsabfälle"".",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2022-12-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1816,geocat.ch,ur-1816.xml,,,['opendata.swiss'],,EGID und Gebäudenummer,['opendata.swiss'],EGID und Gebäudenummer. Jedes Gebäude hat eine fortlaufende Nummer die gemeindeweise eindeutig ist.,,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['imageryBaseMapsEarthCover_EarthCover', 'imageryBaseMapsEarthCover']",2025-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1862,geocat.ch,ur-1862.xml,,,,,Niederschlag,,An verschiedenen Stationen im Kanton Uri erfassen MeteoSchweiz sowie das Amt für Umweltschutz Niederschlagsdaten.,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['climatologyMeteorologyAtmosphere'],2025-11-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1903,geocat.ch,ur-1903.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Feuerwehreinsatzgebiete,"['Geobasisdaten', 'opendata.swiss']",Die Stützpunktfeuerwehren leisten auf Verlangen unverzüglich personelle und materielle Unterstützung zugunsten der Gemeinde- und der Betriebsfeuerwehren. Für diesen Datensatz gibt es keinen Download-Service.,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['intelligenceMilitary'],2009-12-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1801,geocat.ch,ur-1801.xml,,,,,Energieträger Warmwasser,,"Der Datensatz beinhaltet die Daten aus dem Gebäude- und Wohnungsregister (GWR), verknüpft mit dem vorhandenen EGID der Gebäude aus der amtlichen Vermessung. Die Einfärbung erfolgt mit Code GENWW ""Energieträger für Warmwasser"".",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Energy', 'utilitiesCommunication']",2019-12-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1878,geocat.ch,ur-1878.xml,,,,,Gemeindestrassenplan,,"!! Noch nicht alle aufgeführten Daten sind genehmigt !!Gemeindestrassenplan gemäss dem Strassengesetz (StrG) Artikel 17. Beinhaltet die Nationalstrassen, Kantonstrassen, Gemeindestrassen, Korporationsstrassen, Privatstrassen",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['transportation'],1970-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1884,geocat.ch,ur-1884.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Gerichtsbezirke,"['Geobasisdaten', 'opendata.swiss']",Zuständigkeitsgebiete der Gerichte im Kanton Uri,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['boundaries'],2014-01-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1872,geocat.ch,ur-1872.xml,,,['Nationalstrasse'],,Kilometrierung AfBN,['Nationalstrasse'],Kilometrierung der Nationalstrassen in der Gebietseinteilung 11.,,['motorway'],,"['route nationale', 'route nationale']",,,,['strada nazionale'],,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2021-09-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1899,geocat.ch,ur-1899.xml,,,['opendata.swiss'],,Versickerung,['opendata.swiss'],"Das Regenwasser soll möglichst am Ort seines Anfalls über grosse Flächen und in kleinen Mengen abgeführt werden. Optimal ist die Versickerung über natürliche, unbefestigte Flächen sowie über wasserdurchlässige Anlagen wie Kiesplätze, Schotterrasen und Pflastersysteme. Den besten Schutz für das Grundwasser bietet eine belebte und begrünte Humusschicht über dem gewachsenen Boden. Diese Geodaten zeigen wo das Wasser wie gut Versickern kann und ob allenfalls Einschränkungen die Versickerung beeinträchtigen.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2004-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1876,geocat.ch,ur-1876.xml,,,['opendata.swiss'],,Waldstandorte,['opendata.swiss'],"Unter dem Begriff ""Waldstandort"" ist die Gesamtheit der Umwelteinflüsse an einer bestimmten Stelle im Wald zu verstehen, denen Pflanzen und somit auch die Bäume ausgesetzt sind (Klima, Lage, Exposition, Wasser- und Nährstoffverfügbarkeit, Bodenaufbau etc.).Die Waldstandortskarte dient dem Forstdienst und den Waldeigentümern als Grundlage für die Waldbewirtschaftung: Sie liefert Hinweise für den Waldbau sowie Angaben zur natürlichen Baumartenzusammensetzung und zur Schutzwürdigkeit der Lebensräume.Die Waldstandortkatierung ist nicht für den gesamten Wald des Kantons Uri vorhanden. Die Kartierung der Waldgesellschaften wird aber laufend ergänzt.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,['biota'],2025-02-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1847,geocat.ch,ur-1847.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Rebbaukataster (UR),"['Geobasisdaten', 'opendata.swiss']",Der Rebbaukataster umfasst alle Grundstücke die mit Reben bepflanzt sind oder auf denen Reben angepflanzt werden dürfen.,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['farming'],2025-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1806,geocat.ch,ur-1806.xml,,,,,Ökomorphologie Nachkartierung 2015,,Ökomorphologie Nachkartierung 2015,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['inlandWaters'],2015-11-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1861,geocat.ch,ur-1861.xml,,,,,Grundwasser und Quellen,,"An diversen Stellen im Kanton Uri werden im Verantwortungsbereich vom Amt für Umweltschutz Uri, der Grundwasserstand respektive Quellschüttungen gemessen und qualitative Daten zur Wasserbeschaffenheit erfasst. Die Datenaufzeichnung erfolgt entweder online oder über ein manuelles Auslesen. Teilweise werden die Daten auch für das Nationale Grundwasserprogramm Naqua-Quant genutzt. Sie reichen teilweise bis ins Jahr 1970 zurück.",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['inlandWaters'],2025-11-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1877,geocat.ch,ur-1877.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Werkschulkreise,"['Geobasisdaten', 'opendata.swiss']",Einzugsgebiet und Schulhausstandorte der Werkschulen im Kanton Uri.,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['boundaries'],2025-05-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-2008,geocat.ch,ur-2008.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Bikewegnetz [im Aufbau] (UR),"['Geobasisdaten', 'opendata.swiss']",Bikewegnetz des Kanton Uris. Der Datensatz befindet sich im Aufbau und enthält deshalb noch nicht das ganze offizielle Bikewegnetz des Kanton Uris. Zurzeit sind hauptsächlich die in Schweiz Mobil erfassten Bikewege aufgeführt.,,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2024-12-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1805,geocat.ch,ur-1805.xml,,,,,Ökomorphologie Erstkartierung 2003,,Ökomorphologie Erstkartierung 2003,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['inlandWaters'],2003-09-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1817,geocat.ch,ur-1817.xml,,,,,Bodendatenbank,,"In den letzten Jahren wurden im Kanton Uri diverse Bodenuntersuchungen durchgeführt. In der Bodendatenbank werden diese Untersuchungen und deren Ergebnisse gesammelt und verwaltet. Die Datenbank enthält die Projekt-, Standort- und Bodendaten der einzelnen Untersuchungen. Zudem sind die Geometrien der einzelnen Probenahmestellen (Punkt-, Flächen- und Linienproben) in einem Geoinformationssystem &#40;GIS&#41; visualisiert. Neben den drei Geometrien für Probenahmestellen wurden Bodenprofildaten als eigene Geometrie (Darstellung als Punkt) im GIS visualisiert. Die Datenbank ist mit dem GIS verknüpft und die Belastungssituation der Böden in den einzelnen Probenahmestellen im GIS farbcodiert dargestellt.",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['environment_EnvironmentalProtection', 'environment']",2019-07-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1867,geocat.ch,ur-1867.xml,,,,,Weitere Abfallanlagen,,"Weitere Anlagen, in denen Abfälle behandelt, verwertet oder zwischengelagert werden. Dabei handelt es sich hauptsächlich um Anlagen für die Behandlung, Verwertung und Zwischenlagerung von Aushubmaterial, mineralischen Bauabfällen, sowie um Anlagen für die Behandlung, Verwertung und Zwischenlagerung von Sonderabfällen und anderen kontrollpflichtigen Abfällen.Der Layer beschränkt sich auf jene Abfallanlagen, für die eine Bewilligung nach der Verordnung über den Verkehr mit Abfällen (VeVA; SR 814.610) und/oder nach dem Kantonalen Umweltgesetz (KUG; RB 40.7011) erteilt wurde.",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2024-02-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1881,geocat.ch,ur-1881.xml,,,,,Verkehrsbelastung - durchschn. täglicher Verkehr,,Belastungswerte des durchschnittlichen täglichen Verkehrs (DTV),,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['imageryBaseMapsEarthCover_EarthCover', 'imageryBaseMapsEarthCover']",2023-04-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1851,geocat.ch,ur-1851.xml,,,"['Geobasisdaten', 'opendata.swiss']",,BFF Vernetzung (UR),"['Geobasisdaten', 'opendata.swiss']","Vernetzungsprojekte haben zum Ziel, die natürliche Artenvielfalt zu erhalten und zu fördern, indem Biodiversitätsförderflächen (BFF) zu Gunsten ausgewählter Arten angelegt, aufgewertet und gepflegt werden. Vernetzungsprojekte behandeln schwerpunktmässig die landwirtschaftliche Nutzfläche und ihre biologische Vielfalt. Es werden aber auch andere Nutzungen in die Überlegungen mit einbezogen. Vernetzungsbeiträge können jedoch nur für Elemente der landwirtschaftlichen Nutzfläche geltend gemacht werden.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['farming'],2025-10-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1853,geocat.ch,ur-1853.xml,,,['opendata.swiss'],,Baumkataster,['opendata.swiss'],"Im Baumkatasterplan sind alle, seit 1995 bestehenden oder gefällten Bäume auf Gemeinde Liegenschaften der Gemeinde Altdorf eingezeichnet. Der Baumkatasterplan dient zur Planung der Pflege- und Unterhaltsarbeiten.",,['opendata.swiss'],,"['opendata.swiss', 'opendata.swiss']",,,,['opendata.swiss'],,,,,Lisag AG,http://www.lisag.ch,,['biota'],2024-12-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1904,geocat.ch,ur-1904.xml,,,"['Geobasisdaten', 'opendata.swiss']",,Kantonsstrassen,"['Geobasisdaten', 'opendata.swiss']","Strassen, die sich im Zuständigkeitsbereich des Kantons befinden, inkl. Basisbezugspunkte.",,"['official geodata', 'opendata.swiss']",,"['géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['transportation'],2025-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1896,geocat.ch,ur-1896.xml,,,"['Leitungskataster', 'Geobasisdaten', 'opendata.swiss']",,Abwasseranlagen Darstellung Eigentum,"['Leitungskataster', 'Geobasisdaten', 'opendata.swiss']","Dieser Datensatz hat den gleichen Inhalt wie der Datensatz ""34-UR_Abwasseranlagen"". Die Abwasserleitungen sind gemäss dem Attribut ""Eigentum"" verschiedenfarbig dargestellt.",,"['pipeline cadastre', 'official geodata', 'opendata.swiss']",,"['cadastre des conduites', 'cadastre des conduites', 'géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['catasto delle condotte', 'geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2025-10-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1987,geocat.ch,ur-1987.xml,,,,,Eisenbahn Pläne,,Karten Eisenbahnlärmsanierung SBB,,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,['transportation'],1970-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1887,geocat.ch,ur-1887.xml,,,"['Auengebiet', 'Flachmoor', 'Fliessgewässer', 'Geotop', 'Hochmoor', 'Natur', 'Geobasisdaten', 'opendata.swiss']",,Schutzinventar Natur,"['Auengebiet', 'Flachmoor', 'Fliessgewässer', 'Geotop', 'Hochmoor', 'Natur', 'Geobasisdaten', 'opendata.swiss']","Der Datensatz zeigt die schutzwürdigen Objekte (Gebiete, Einzelobjekte) im Bereich Natur. Das Kantonale Schutzinventar hat gemäss kNHG Art. 17 hinweisenden Charakter. Es ist nicht abschliessend und wird laufend nachgeführt. Für die Anzeige des vollständigen Schutzinventars müssen noch die beiden Layer ""Schutzinventar: Kultur"" und ""Schutzinventar: Landschaft"" dazugeladen werden. Link zu den Inventarlisten des Kantons Uri",,"['alluvial site', 'swamp', 'watercourse', 'geotope', 'raised bog', 'nature', 'official geodata', 'opendata.swiss']",,"['zone alluviale', 'zone alluviale', 'bas-marais', 'bas-marais', ""cours d'eau"", ""cours d'eau"", 'géotope', 'géotope', 'haut-marais', 'haut-marais', 'nature', 'nature', 'géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['zona golenale', 'palude', ""corso d'acqua"", 'geotopo', 'torbiera alta', 'natura', 'geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['environment_NatureProtection', 'environment']",2025-10-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1895,geocat.ch,ur-1895.xml,,,"['Leitungskataster', 'Geobasisdaten', 'opendata.swiss']",,Abwasseranlagen,"['Leitungskataster', 'Geobasisdaten', 'opendata.swiss']","In diesem Datensatz werden alle Leitungen für verschmutztes und nicht verschmutztes Abwasser erfasst (Art. 26. Kantonales Umweltschutzgesetz, KUG). Weiter enthält dieser Datensatz Abwasserreinigungsanlagen, Versickerungsanlagen und Sonderbauwerke.",,"['pipeline cadastre', 'official geodata', 'opendata.swiss']",,"['cadastre des conduites', 'cadastre des conduites', 'géodonnées de base', 'géodonnées de base', 'opendata.swiss', 'opendata.swiss']",,,,"['catasto delle condotte', 'geodati di base', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Utilities', 'utilitiesCommunication']",2025-10-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1901,geocat.ch,ur-1901.xml,,,,,IVS Kantonsstrassen,,"Hier sind die Strassen dargestellt, die im IVS National, Regional und Lokal vom Bundesinventar eingetragen sind, die in der Nähe der Kantonsstrasse sowie der Gotthardpassstrasse befinden.",,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['imageryBaseMapsEarthCover_EarthCover', 'imageryBaseMapsEarthCover']",2021-08-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1774,geocat.ch,ur-1774.xml,,,"['Ortsplan', 'opendata.swiss']",,Ortsinfo,"['Ortsplan', 'opendata.swiss']",Der Dateninhalt der Ortsinformationen über das Gebiet des Kantons Uri ist sehr unterschiedlich. Wir sind bemüht in Zusammenarbeit mit den Gemeinden die Informationen sukzessive zu ergänzen.,,"['location plan', 'opendata.swiss']",,"['plan de localité', 'plan de localité', 'opendata.swiss', 'opendata.swiss']",,,,"['piano di località', 'opendata.swiss']",,,,,Lisag AG,http://www.lisag.ch,,['location'],2025-10-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
ur-1984,geocat.ch,ur-1984.xml,,,,,Hochspannungskorridore,,Hochspannungsleitungen mit Puffer Einhaltung Anlagegrenzwert (1µT),,,,,,,,,,,,,Lisag AG,http://www.lisag.ch,,"['utilitiesCommunication_Energy', 'utilitiesCommunication']",2023-03-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
