dataset_identifier,distribution_format,distribution_access_url,origin,xml_filename,distribution_title_de,distribution_description_de,distribution_title_unknown,distribution_description_unknown,distribution_title_en,distribution_description_en,distribution_title_fr,distribution_description_fr,distribution_title_it,distribution_description_it,distribution_title_rm,distribution_description_rm,distribution_media_type,distribution_language,distribution_download_url,distribution_coverage,distribution_temporal_resolution,distribution_documentation,distribution_id,distribution_issued_date,distribution_modified_date,distribution_license,distribution_rights,distribution_byte_size,distribution_language_status_de,distribution_language_status_en,distribution_language_status_fr,distribution_language_status_it,distribution_language_status_unknown,distribution_language_quality,distribution_description_length_de,distribution_description_length_en,distribution_description_length_fr,distribution_description_length_it,distribution_description_length_rm,distribution_format_name,distribution_format_type,distribution_format_cluster,distribution_format_geodata,distribution_access_url_status_code,distribution_download_url_status_code
urn:isogeo:metadata:uuid:6ffd6759-eddd-4077-87c4-be65f55d754d,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_6ffd6759-eddd-4077-87c4-be65f55d754d.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:6ffd6759-eddd-4077-87c4-be65f55d754d,,,geocat.ch,urn_isogeo_metadata_uuid_6ffd6759-eddd-4077-87c4-be65f55d754d.xml,,,Modèle de données propre aux milieux naturels sur la page Wiki OSM,,,,,,,,,,,,https://wiki.openstreetmap.org/wiki/Key:natural,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:31d848b5-6900-4e36-85c9-a4f2b4990b16,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_31d848b5-6900-4e36-85c9-a4f2b4990b16.xml,,,Modèle de données propre aux Parcs Naturels sur la page Wiki OSM,,,,,,,,,,,,https://wiki.openstreetmap.org/wiki/Tag:boundary%3Dprotected_area,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:31d848b5-6900-4e36-85c9-a4f2b4990b16,,,geocat.ch,urn_isogeo_metadata_uuid_31d848b5-6900-4e36-85c9-a4f2b4990b16.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:31d848b5-6900-4e36-85c9-a4f2b4990b16,OGC:WFS,,geocat.ch,urn_isogeo_metadata_uuid_31d848b5-6900-4e36-85c9-a4f2b4990b16.xml,,,magosm:pnr_polygon,Parcs Naturels Régionaux - Suisse,,,,,,,,,,,https://ch-osm-services.geodatasolutions.ch/geoserver/ows?service=wfs,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2183,OGC:WMS,,geocat.ch,ur-2183.xml,,,weitere_sec:ur022_kataster_privater_gewaesser,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2183,OGC:WFS,,geocat.ch,ur-2183.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2183,,,geocat.ch,ur-2183.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2183,CHTOPO:specialised-geoportal,,geocat.ch,ur-2183.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Kataster der privaten Gewässer,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2182,OGC:WMS,,geocat.ch,ur-2182.xml,,,weitere_sec:ur021_kataster_oeffentlicher_gewaesser,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
