Identifier,Title
ur-2163,Schutzwald (UR)
ur-2164,Bodenbedeckung Zeitstände
ur-2165,Standplätze (Schifffahrt)
ur-2166,Ökomorphologie Nachkartierung 2024
ur-2169,Gewässerraum technisch
ur-2170,Alpen inkl. Weideperimeter
ur-2171,Bushaltestellen Inventar
ur-2172,Gewässerraum technisch Differenz rechtskräftig
ur-2173,Geschiebemessnetz (SOLID) - Standorte der Messstellen (UR)
ur-2174,Schutzmassnahmen Kultur- und Denkmalschutz verfügt
ur-2175,VPPW Belastungspotenzial
ur-2176,VPPW Gefährdungspotenzial
ur-2177,VPPW empfindliche Nutzung
ur-2179,VPPW Grundlagen
ur-2180,airflow
ur-2181,Landwirtschaftliche Infrastrukturanlagen (UR)
ur-2182,Kataster der öffentlichen Gewässer
ur-2183,Kataster der privaten Gewässer
ur-2184,Schwachstellenanalyse Fusswegnetz
ur-2185,Schwachstellenanalyse Velowegnetz
urn:isogeo:metadata:uuid:0652ec1d-4ff8-4d7a-94dc-f2d2459201b5,Étendues d'eau - Suisse
urn:isogeo:metadata:uuid:0de2cb6e-6501-42c7-9426-c5ea26bca067,"Forêts, bois et brousailles - Suisse"
urn:isogeo:metadata:uuid:2cb57d22-887b-460c-bc3b-6f527af1031f,"Localisations des arbres uniques, parfois isolés ou significatifs - Suisse"
urn:isogeo:metadata:uuid:31d848b5-6900-4e36-85c9-a4f2b4990b16,Parcs naturels - Suisse
urn:isogeo:metadata:uuid:6ffd6759-eddd-4077-87c4-be65f55d754d,Milieux naturels - Suisse
urn:isogeo:metadata:uuid:bc626451-1cd8-4fff-9265-ce157ff3e60c,Cours d'eau - Suisse
urn:isogeo:metadata:uuid:c60e44cf-94e3-4ada-bc63-d653bf822f6b,Localisations des sources de l'énergie - Suisse
urn:isogeo:metadata:uuid:eb3299b7-5b0b-4308-87e1-35512bdb87a3,Exploitation des sols - Suisse
