"Description","URL"
"KT_AI","https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities"
"KT_AR","https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities"
"KT_AG","https://wms.geo.ag.ch/public/ows?SERVICE=WMS"
"KT_BL","https://tile.geoview.bl.ch/1.0.0/WMTSCapabilities.xml"
"KT_BL","http://geowms.bl.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities"
"KT_BS","https://wfs.geo.bs.ch/?SERVICE=WFS&REQUEST=GetCapabilities"
"KT_BS","https://wmts.geo.bs.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml"
"KT_BS","https://wms.geo.bs.ch/?SERVICE=WMS&REQUEST=GetCapabilities"
"KT_GL","https://wms.geo.gl.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities"
"KT_GL","https://wfs.geo.gl.ch/?service=WFS&request=GetCapabilities"
"KT_GR","https://wms.geo.gr.ch/admineinteilung?service=WMS&request=GetCapabilities"
"KT_GR","https://wms.geo.gr.ch/regionen?service=WMS&request=GetCapabilities"
"KT_GR","https://wms.geo.gr.ch/basisinfo?service=WMS&request=GetCapabilities"
"KT_GR","https://wms.geo.gr.ch/basisplan?service=WMS&request=GetCapabilities"
"KT_GR","https://wms.geo.gr.ch/bienenseuchen?service=WMS&request=GetCapabilities"
"KT_SG","https://services.geo.sg.ch/wss/service/SG00135_WMTS/guest?REQUEST=GetCapabilities"
"KT_SG","https://services.geo.sg.ch/wss/service/SG00155_WMS/guest?REQUEST=GetCapabilities"
"KT_SG","https://services.geo.sg.ch/wss/service/SG00155_WMTS/guest?REQUEST=GetCapabilities"
"KT_SG","https://services.geo.sg.ch/wss/service/SG00046_WMS/guest?REQUEST=GetCapabilities"
"KT_SG","https://services.geo.sg.ch/wss/service/SG00046_WMTS/guest?REQUEST=GetCapabilities"
"KT_SO","https://geo.so.ch/wms/oereb?SERVICE=WMS&REQUEST=GetCapabilities"
"KT_SZ","https://map.geo.sz.ch/mapserv_proxy?SERVICE=WMS&REQUEST=GetCapabilities&lang=de"
"KT_SZ","https://geoshop.lisag.ch/WMSSZ?SERVICE=WMS&REQUEST=GetCapabilities"
"KT_SZ","https://map.geo.sz.ch/tiles/1.0.0/WMTSCapabilities.xml"
